subject,wave,phase,valid_session,valid_fullface,emotion,duration,fullface_pct,session_pct
7,6,I,3124.276,36.857000000000006,anger,0.3400000000001455,0.009224841956755717,1.0882521262530761e-4
7,9,I,3527.97,136.07500000000002,anger,0,0,0
8,6,I,3681.826,104.95800000000003,anger,0,0,0
8,9,I,3939.6730000000002,282.5139999999997,anger,0.2719999999999345,9.62784145210272e-4,6.904126306927871e-5
9,6,I,3476.333,32.16499999999999,anger,0,0,0
9,9,I,3700.066,103.53800000000003,anger,2.072999999999979,0.020021634568950324,5.602602764383065e-4
10,6,I,3885.011,98.464,anger,0.2380000000000564,0.002417127071823777,6.126108780645831e-5
10,9,I,3925.748,123.9699999999999,anger,0,0,0
11,6,I,3733.1330000000003,85.37499999999999,anger,0,0,0
11,9,I,3593.271,62.649,anger,0,0,0
12,6,I,3575.184,228.52699999999996,anger,0,0,0
12,9,I,3537.758,195.35399999999987,anger,0,0,0
13,6,I,4053.4460000000004,39.20400000000001,anger,0,0,0
13,9,I,3491.093,75.21199999999993,anger,0,0,0
14,6,I,3712.7219999999998,330.2320000000001,anger,0,0,0
14,9,I,3440.649,233.0549999999999,anger,0,0,0
15,6,I,3359.007,115.58,anger,0,0,0
15,9,I,3618.118,131.58499999999998,anger,0,0,0
16,6,I,3499.421,12.274,anger,0,0,0
16,9,I,3581.6279999999997,5.610000000000001,anger,0,0,0
17,6,I,3820.4860000000003,108.60399999999997,anger,0,0,0
17,9,I,3665.206,27.715999999999987,anger,0,0,0
18,9,I,3246.293,60.25399999999999,anger,0.6109999999998763,0.010140405616222597,1.882146805602194e-4
19,6,I,3619.028,153.81599999999997,anger,0,0,0
19,9,I,3689.766,214.93200000000002,anger,0,0,0
20,6,I,3690.439,115.885,anger,0,0,0
20,9,I,3693.8399999999997,83.37099999999998,anger,0,0,0
21,6,I,3755.471,25.535,anger,0,0,0
21,9,I,3559.206,26.331,anger,0,0,0
22,6,I,3611.481,31.757999999999996,anger,0,0,0
22,9,I,3738.711,39.64699999999999,anger,0,0,0
23,6,I,3599.646,3.4330000000000003,anger,0,0,0
23,9,I,3412.6870000000004,52.70599999999996,anger,0,0,0
25,6,I,3793.85,60.15099999999998,anger,0,0,0
25,9,I,3656.924,171.27800000000013,anger,0,0,0
26,6,I,3775.9120000000003,337.1169999999998,anger,0,0,0
26,9,I,3609.636,232.0199999999999,anger,0,0,0
27,6,I,3682.202,308.31399999999985,anger,2.3109999999995807,0.007495605129833812,6.276135855663487e-4
27,9,I,3666.548,350.2899999999997,anger,0,0,0
28,6,I,3434.227,302.9060000000001,anger,0,0,0
