occ,n_aus,n_subjects,n_events,duration,session_pct,fullface_pct,proto,cluster
1+4+20,3,5,7,3.021,9.996915020193072e-6,3.1796606130671956e-4,,A
6+12+17,3,4,4,2.99,9.894331648585663e-6,3.1470325167397934e-4,,B
1+4+12,3,5,6,2.989,9.891022507566068e-6,3.145979997503425e-4,,A
1+2+5+20+25+26,6,6,6,2.968,9.821530546154597e-6,3.123877093539701e-4,,C
4+24+26,3,2,9,2.951,9.765275148821503e-6,3.105984266521448e-4,,NA
4+6+25,3,5,5,2.923,9.672619200272873e-6,3.076513727903149e-4,,A
1+2+4,3,5,6,2.822,9.338395957293894e-6,2.9702092850299985e-4,,C
6+12+20+25+26,5,3,6,2.8209999999999997,9.335086816274297e-6,2.9691567657936304e-4,,B
4+12+19+25+26,5,4,6,2.7520000000000002,9.106756085922323e-6,2.896532938484251e-4,,NA
1+17+18,3,3,5,2.751,9.103446944902728e-6,2.895480419247883e-4,,A
1+2+6+12,4,5,6,2.72,9.000863573295318e-6,2.8628523229204807e-4,,C
13,1,4,4,2.7199999999999998,9.000863573295318e-6,2.86285232292048e-4,,NA
4+25+27,3,2,2,2.7199999999999998,9.000863573295318e-6,2.86285232292048e-4,,NA
4+7+17,3,3,4,2.618,8.663331189296745e-6,2.755495360810963e-4,,A
1+2+14+17+24,5,1,1,2.618,8.663331189296745e-6,2.755495360810963e-4,,NA
17+32,2,3,4,2.616,8.656712907257556e-6,2.753390322338227e-4,,NA
4+10+25,3,3,7,2.616,8.656712907257556e-6,2.753390322338227e-4,,A
5+8+12,3,2,5,2.614,8.650094625218368e-6,2.751285283865491e-4,,NA
1+20,2,6,7,2.58,8.537583830552178e-6,2.7154996298289855e-4,,A
1+2+5+19+25+26,6,3,3,2.549,8.435000458944766e-6,2.682871533501583e-4,,NA
14+25,2,7,11,2.547,8.42838217690558e-6,2.680766495028847e-4,,NA
2+5+12,3,3,4,2.513,8.315871382239388e-6,2.644980840992341e-4,,C
12+17+25,3,4,5,2.481,8.209978869612383e-6,2.6113002254285706e-4,,B
7+14,2,3,5,2.479,8.203360587573197e-6,2.6091951869558353e-4,,NA
1+2+12+20+25,5,4,5,2.479,8.203360587573197e-6,2.6091951869558353e-4,,C
17+25+32,3,2,2,2.448,8.100777215965787e-6,2.5765670906284326e-4,,NA
