occ,n_aus,n_subjects,n_events,duration,session_pct,fullface_pct,proto,cluster
1+2+8+12+25+26,6,2,3,0.814,2.693640789949408e-6,8.567506584034085e-5,,NA
12+17+25+26+32,5,2,2,0.8049999999999999,2.6638585207730627e-6,8.47277985276098e-5,,NA
19+22+25+26,4,1,1,0.782,2.5877482773224044e-6,8.230700428396382e-5,,NA
7+16+25+26,4,1,1,0.782,2.5877482773224044e-6,8.230700428396382e-5,,NA
4+6+10+12+25,5,1,1,0.782,2.5877482773224044e-6,8.230700428396382e-5,,A
1+2+5+12+17+25+26,7,1,1,0.782,2.5877482773224044e-6,8.230700428396382e-5,,C
4+5+20+25,4,1,1,0.782,2.5877482773224044e-6,8.230700428396382e-5,,A
1+2+5+8+25+27,6,1,1,0.781,2.5844391363028103e-6,8.220175236032704e-5,,NA
17+22,2,2,2,0.781,2.5844391363028103e-6,8.220175236032704e-5,,NA
12+14,2,2,2,0.781,2.5844391363028103e-6,8.220175236032704e-5,matsumoto2008_contempt_1,NA
1+2+5+16+25+26,6,2,2,0.781,2.5844391363028103e-6,8.220175236032704e-5,,NA
2+5+12+25,4,2,3,0.781,2.5844391363028103e-6,8.220175236032704e-5,,C
7+12+17,3,1,1,0.781,2.5844391363028103e-6,8.220175236032704e-5,,A
1+2+4+20,4,2,2,0.7809999999999999,2.58443913630281e-6,8.220175236032703e-5,,C
4+12+17+19+25+26,6,2,2,0.78,2.5811299952832163e-6,8.209650043669025e-5,,NA
6+10+12,3,1,2,0.748,2.4752374826562128e-6,7.872843888031322e-5,,B
1+4+5,3,1,1,0.748,2.4752374826562128e-6,7.872843888031322e-5,,A
12+17+24,3,2,2,0.747,2.4719283416366187e-6,7.862318695667644e-5,,NA
6+15+25,3,1,1,0.747,2.4719283416366187e-6,7.862318695667644e-5,"fig2002_sadness_18
fig2002_sadness_22",NA
5+12+24,3,2,2,0.747,2.4719283416366187e-6,7.862318695667644e-5,,NA
1+2+4+5+12+25+26,7,1,1,0.747,2.4719283416366187e-6,7.862318695667644e-5,,C
1+2+5+22+25+26,6,1,1,0.747,2.4719283416366187e-6,7.862318695667644e-5,,NA
1+2+5+17+18+25,6,2,2,0.747,2.4719283416366187e-6,7.862318695667644e-5,,C
1+4+6+17+23,5,1,1,0.747,2.4719283416366187e-6,7.862318695667644e-5,,NA
26+36,2,3,3,0.746,2.4686192006170247e-6,7.851793503303965e-5,,NA
1+2+7+25,4,1,1,0.714,2.362726687990021e-6,7.514987347666262e-5,,C
1+12+20+25,4,1,1,0.714,2.362726687990021e-6,7.514987347666262e-5,,A
7+12+20+25,4,1,1,0.714,2.362726687990021e-6,7.514987347666262e-5,,A
1+4+23,3,2,2,0.714,2.362726687990021e-6,7.514987347666262e-5,,NA
2+4+14,3,1,1,0.714,2.362726687990021e-6,7.514987347666262e-5,,NA
1+2+10+12+25+26,6,2,2,0.7130000000000001,2.3594175469704276e-6,7.504462155302584e-5,,C
4+5+14,3,2,2,0.713,2.359417546970427e-6,7.504462155302583e-5,,NA
5+17+25+26,4,1,1,0.713,2.359417546970427e-6,7.504462155302583e-5,,A
1+2+22+25+26,5,1,1,0.713,2.359417546970427e-6,7.504462155302583e-5,,NA
9+12+25,3,4,5,0.712,2.356108405950833e-6,7.493936962938905e-5,,NA
4+17+18+25,4,1,2,0.712,2.356108405950833e-6,7.493936962938905e-5,,A
12+18+25,3,6,6,0.7110000000000001,2.35279926493124e-6,7.483411770575227e-5,,B
10+17,2,1,1,0.68,2.2502158933238296e-6,7.157130807301202e-5,fig2002_disgust_10,A
1+2+7,3,1,1,0.68,2.2502158933238296e-6,7.157130807301202e-5,,C
4+15+18,3,1,1,0.68,2.2502158933238296e-6,7.157130807301202e-5,,NA
2+24,2,2,2,0.6799999999999999,2.2502158933238296e-6,7.1571308073012e-5,,NA
8+25+27,3,1,1,0.679,2.246906752304236e-6,7.146605614937524e-5,,NA
1+2+12+14,4,1,1,0.679,2.246906752304236e-6,7.146605614937524e-5,,NA
9+22,2,1,1,0.679,2.246906752304236e-6,7.146605614937524e-5,,NA
8+17+25+26,4,2,2,0.679,2.246906752304236e-6,7.146605614937524e-5,,NA
1+2+5+12+18+25+26,7,1,1,0.679,2.246906752304236e-6,7.146605614937524e-5,,C
6+10+25,3,2,2,0.679,2.246906752304236e-6,7.146605614937524e-5,,A
1+19+25+26,4,2,2,0.678,2.243597611284642e-6,7.136080422573846e-5,,NA
18+24,2,2,2,0.6779999999999999,2.2435976112846415e-6,7.136080422573845e-5,,NA
1+2+12+17+24,5,2,2,0.646,2.137705098657638e-6,6.799274266936142e-5,,NA
12+17+32,3,1,2,0.646,2.137705098657638e-6,6.799274266936142e-5,,NA
6+10+12+25,4,1,3,0.646,2.137705098657638e-6,6.799274266936142e-5,,B
1+2+4+5+25+26,6,2,2,0.646,2.137705098657638e-6,6.799274266936142e-5,fig2002_fear_9,C
1+4+7+12,4,1,1,0.646,2.137705098657638e-6,6.799274266936142e-5,,A
6+16+20+25,4,1,1,0.646,2.137705098657638e-6,6.799274266936142e-5,,NA
1+16+20+25+26,5,1,1,0.646,2.137705098657638e-6,6.799274266936142e-5,,NA
4+6+10+25,4,1,1,0.646,2.137705098657638e-6,6.799274266936142e-5,,A
17+25,2,2,3,0.645,2.1343959576380444e-6,6.788749074572464e-5,,A
1+2+5+17+23,5,3,3,0.645,2.1343959576380444e-6,6.788749074572464e-5,,NA
6+19+25+26,4,1,1,0.645,2.1343959576380444e-6,6.788749074572464e-5,,NA
1+2+6+12+25,5,1,1,0.645,2.1343959576380444e-6,6.788749074572464e-5,,C
1+2+7+9,4,1,1,0.645,2.1343959576380444e-6,6.788749074572464e-5,,NA
4+17+20+24,4,1,1,0.645,2.1343959576380444e-6,6.788749074572464e-5,,NA
1+2+22,3,2,2,0.645,2.1343959576380444e-6,6.788749074572464e-5,,NA
14+17+19+25+26,5,1,2,0.645,2.1343959576380444e-6,6.788749074572464e-5,,NA
1+5+18,3,1,2,0.645,2.1343959576380444e-6,6.788749074572464e-5,,A
4+5+14+17,4,2,2,0.644,2.1310868166184504e-6,6.778223882208785e-5,,NA
1+4+24,3,4,4,0.644,2.1310868166184504e-6,6.778223882208785e-5,,NA
14+19+25+26,4,3,3,0.644,2.1310868166184504e-6,6.778223882208785e-5,,NA
1+2+4+5+20+25+26,7,2,2,0.6439999999999999,2.13108681661845e-6,6.778223882208783e-5,"du2014_fear_8
fig2002_fear_4
fig2002_fear_14
matsumoto2008_fear_4",C
1+2+7+12,4,2,3,0.637,2.1079228294812933e-6,6.704547535663038e-5,,C
16,1,3,3,0.612,2.025194303991447e-6,6.441417726571081e-5,,NA
2+5+24,3,1,1,0.612,2.025194303991447e-6,6.441417726571081e-5,,NA
25+30,2,1,1,0.612,2.025194303991447e-6,6.441417726571081e-5,,NA
1+2+12+17+20+25+26+32,8,1,1,0.612,2.025194303991447e-6,6.441417726571081e-5,,NA
1+2+5+23+25,5,1,1,0.611,2.021885162971853e-6,6.430892534207404e-5,,NA
7+10,2,1,1,0.611,2.021885162971853e-6,6.430892534207404e-5,,A
7+17+24,3,1,1,0.611,2.021885162971853e-6,6.430892534207404e-5,,NA
24+26+30,3,2,2,0.611,2.021885162971853e-6,6.430892534207404e-5,,NA
1+2+4+5+20,5,2,2,0.611,2.021885162971853e-6,6.430892534207404e-5,matsumoto2008_fear_1,C
2+7+9+16,4,1,1,0.611,2.021885162971853e-6,6.430892534207404e-5,,NA
1+4+15+17,4,3,4,0.611,2.021885162971853e-6,6.430892534207404e-5,"du2014_sadness_8
fig2002_sadness_33
fig2002_sadness_37
matsumoto2008_sadness_4",NA
7+17,2,2,2,0.611,2.021885162971853e-6,6.430892534207404e-5,,A
1+2+4+12+19+25+26,7,1,1,0.611,2.021885162971853e-6,6.430892534207404e-5,,NA
5+16+20+25+26,5,1,1,0.611,2.021885162971853e-6,6.430892534207404e-5,,NA
2+4+15,3,1,1,0.611,2.021885162971853e-6,6.430892534207404e-5,,NA
1+2+12+15+25+26,6,1,1,0.611,2.021885162971853e-6,6.430892534207404e-5,,NA
1+2+5+14+17,5,2,3,0.61,2.0185760219522588e-6,6.420367341843725e-5,,NA
1+2+12+16+25,5,2,2,0.5780000000000001,1.9126835093252553e-6,6.083561186206022e-5,,NA
1+2+17+25+26,5,2,2,0.5780000000000001,1.9126835093252553e-6,6.083561186206022e-5,,C
5+17+18,3,2,2,0.5780000000000001,1.9126835093252553e-6,6.083561186206022e-5,,A
8+12+19+25+26,5,1,1,0.578,1.9126835093252553e-6,6.083561186206021e-5,,NA
18+30,2,1,1,0.578,1.9126835093252553e-6,6.083561186206021e-5,,NA
1+2+5+12+24,5,1,1,0.578,1.9126835093252553e-6,6.083561186206021e-5,,NA
1+5+25,3,1,1,0.578,1.9126835093252553e-6,6.083561186206021e-5,,C
4+12+23,3,2,2,0.5770000000000001,1.9093743683056617e-6,6.073035993842344e-5,,NA
4+8+12+25+26,5,1,2,0.577,1.9093743683056612e-6,6.073035993842343e-5,,NA
4+20+23+25,4,1,1,0.577,1.9093743683056612e-6,6.073035993842343e-5,,NA
6+18,2,2,2,0.577,1.9093743683056612e-6,6.073035993842343e-5,,A
12+25+33,3,1,1,0.577,1.9093743683056612e-6,6.073035993842343e-5,,NA
1+2+14+25,4,2,2,0.577,1.9093743683056612e-6,6.073035993842343e-5,,NA
6+9+12+25,4,2,3,0.577,1.9093743683056612e-6,6.073035993842343e-5,,NA
4+8+25+26,4,2,3,0.5760000000000001,1.9060652272860676e-6,6.062510801478665e-5,,NA
8+20+25+26,4,4,4,0.575,1.9027560862664734e-6,6.051985609114986e-5,,NA
16+20,2,1,1,0.544,1.800172714659064e-6,5.725704645840962e-5,,NA
17+23+30,3,1,1,0.544,1.800172714659064e-6,5.725704645840962e-5,,NA
9+12+19+25+26,5,1,1,0.544,1.800172714659064e-6,5.725704645840962e-5,,NA
6+12+26,3,1,1,0.544,1.800172714659064e-6,5.725704645840962e-5,,B
4+7+15,3,1,1,0.544,1.800172714659064e-6,5.725704645840962e-5,,NA
4+6+10+12+25+26,6,1,1,0.544,1.800172714659064e-6,5.725704645840962e-5,,B
6+12+17+19+25,5,1,1,0.543,1.79686357363947e-6,5.7151794534772836e-5,,NA
4+12+24,3,2,3,0.543,1.79686357363947e-6,5.7151794534772836e-5,,NA
1+4+5+12,4,1,1,0.543,1.79686357363947e-6,5.7151794534772836e-5,,A
6+12+17+25+26+32,6,1,1,0.543,1.79686357363947e-6,5.7151794534772836e-5,,NA
9+11+22,3,1,1,0.543,1.79686357363947e-6,5.7151794534772836e-5,,NA
7+9,2,2,2,0.5429999999999999,1.7968635736394696e-6,5.715179453477282e-5,,NA
1+6+20,3,1,2,0.5429999999999999,1.7968635736394696e-6,5.715179453477282e-5,,A
1+2+9,3,2,2,0.542,1.793554432619876e-6,5.704654261113605e-5,,NA
1+2+12+18,4,2,2,0.542,1.793554432619876e-6,5.704654261113605e-5,,C
4+6+19+25+26,5,2,2,0.542,1.793554432619876e-6,5.704654261113605e-5,,NA
4+15+16+25,4,1,1,0.51,1.6876619199928723e-6,5.367848105475901e-5,,NA
4+5+22+25,4,1,1,0.51,1.6876619199928723e-6,5.367848105475901e-5,,NA
1+2+5+13,4,1,1,0.51,1.6876619199928723e-6,5.367848105475901e-5,,NA
1+2+5+15+17+25,6,1,1,0.51,1.6876619199928723e-6,5.367848105475901e-5,,NA
1+2+5+9+11+22,6,1,1,0.51,1.6876619199928723e-6,5.367848105475901e-5,,NA
1+2+5+7+12,5,2,2,0.509,1.6843527789732785e-6,5.357322913112223e-5,,C
12+19,2,2,2,0.509,1.6843527789732785e-6,5.357322913112223e-5,,NA
1+2+5+10+20+25+26,7,1,1,0.509,1.6843527789732785e-6,5.357322913112223e-5,,C
1+2+4+22+25,5,1,1,0.509,1.6843527789732785e-6,5.357322913112223e-5,,NA
1+2+4+17+24,5,1,1,0.509,1.6843527789732785e-6,5.357322913112223e-5,,NA
2+4+15+17,4,1,1,0.509,1.6843527789732785e-6,5.357322913112223e-5,,NA
1+2+5+17+20+25+26+32,8,1,1,0.509,1.6843527789732785e-6,5.357322913112223e-5,,NA
1+2+26+35,4,1,1,0.476,1.5751511253266807e-6,5.009991565110841e-5,,NA
12+25+27,3,1,1,0.476,1.5751511253266807e-6,5.009991565110841e-5,,NA
7+10+25+26,4,1,1,0.476,1.5751511253266807e-6,5.009991565110841e-5,,A
4+25+26+36,4,1,1,0.476,1.5751511253266807e-6,5.009991565110841e-5,,NA
4+6+10,3,1,1,0.476,1.5751511253266807e-6,5.009991565110841e-5,,A
7+14+17,3,1,1,0.476,1.5751511253266807e-6,5.009991565110841e-5,,NA
9+19+25+26,4,1,1,0.476,1.5751511253266807e-6,5.009991565110841e-5,,NA
14+17+25+26+32,5,1,1,0.475,1.5718419843070869e-6,4.999466372747163e-5,,NA
1+4+5+17,4,1,1,0.475,1.5718419843070869e-6,4.999466372747163e-5,,A
1+17+18+24,4,2,2,0.475,1.5718419843070869e-6,4.999466372747163e-5,,NA
17+26+36,3,1,1,0.475,1.5718419843070869e-6,4.999466372747163e-5,,NA
1+2+5+15+17,5,1,1,0.475,1.5718419843070869e-6,4.999466372747163e-5,,NA
4+14+17+25+26,5,1,1,0.475,1.5718419843070869e-6,4.999466372747163e-5,,NA
2+4+25+26,4,2,2,0.475,1.5718419843070869e-6,4.999466372747163e-5,,C
12+14+25,3,3,3,0.47400000000000003,1.568532843287493e-6,4.988941180383485e-5,,NA
12+17+23,3,2,3,0.474,1.5685328432874928e-6,4.9889411803834843e-5,,NA
1+15+25,3,2,2,0.44999999999999996,1.48911345881724e-6,4.736336563655206e-5,,NA
6+12+17+19+25+26+32,7,1,1,0.442,1.4626403306604894e-6,4.652135024745781e-5,,NA
35,1,1,1,0.442,1.4626403306604894e-6,4.652135024745781e-5,,NA
1+2+19,3,1,1,0.442,1.4626403306604894e-6,4.652135024745781e-5,,NA
8+19+25+26,4,1,1,0.442,1.4626403306604894e-6,4.652135024745781e-5,,NA
1+4+17+23,4,1,1,0.442,1.4626403306604894e-6,4.652135024745781e-5,,NA
5+24+26,3,1,1,0.442,1.4626403306604894e-6,4.652135024745781e-5,,NA
7+15,2,1,1,0.442,1.4626403306604894e-6,4.652135024745781e-5,,NA
6+9+12+19+25+26,6,1,1,0.442,1.4626403306604894e-6,4.652135024745781e-5,,NA
6+25+26+32,4,1,1,0.442,1.4626403306604894e-6,4.652135024745781e-5,,NA
9+17+25+26,4,1,1,0.442,1.4626403306604894e-6,4.652135024745781e-5,,NA
4+17+23+26,4,1,1,0.442,1.4626403306604894e-6,4.652135024745781e-5,,NA
2+20,2,1,1,0.442,1.4626403306604894e-6,4.652135024745781e-5,,C
2+5+12+25+26,5,2,2,0.44100000000000006,1.4593311896408955e-6,4.6416098323821033e-5,,C
12+17+25+32,4,2,2,0.441,1.4593311896408955e-6,4.641609832382103e-5,,NA
1+2+4+17+25+26,6,1,1,0.441,1.4593311896408955e-6,4.641609832382103e-5,,C
2+4+20,3,1,1,0.441,1.4593311896408955e-6,4.641609832382103e-5,,A
4+14+17+19+25+26,6,1,1,0.441,1.4593311896408955e-6,4.641609832382103e-5,,NA
10+12+17+25,4,1,1,0.441,1.4593311896408955e-6,4.641609832382103e-5,,A
8+12+25+26,4,4,4,0.43900000000000006,1.4527129076017079e-6,4.620559447654747e-5,,NA
12+18+26+36,4,1,1,0.415,1.3732935231314548e-6,4.3679548309264684e-5,,NA
25+27,2,2,2,0.40800000000000003,1.350129535994298e-6,4.294278484380721e-5,cordaro2018_sympathy_2,NA
4+7+12+25+26,5,1,2,0.40800000000000003,1.350129535994298e-6,4.294278484380721e-5,,A
1+5+20,3,1,1,0.408,1.3501295359942978e-6,4.294278484380721e-5,,A
17+18+26+36,4,1,1,0.408,1.3501295359942978e-6,4.294278484380721e-5,,NA
1+4+6+25+26,5,1,1,0.408,1.3501295359942978e-6,4.294278484380721e-5,,A
5+20+25+26,4,2,2,0.408,1.3501295359942978e-6,4.294278484380721e-5,fig2002_fear_27,A
9+17+19+25+26,5,1,1,0.408,1.3501295359942978e-6,4.294278484380721e-5,,NA
1+4+6+20+25+26,6,1,1,0.408,1.3501295359942978e-6,4.294278484380721e-5,,A
1+4+7+14,4,1,1,0.408,1.3501295359942978e-6,4.294278484380721e-5,,NA
4+5+12+25+26,5,1,2,0.40700000000000003,1.346820394974704e-6,4.283753292017043e-5,,B
1+4+6+23,4,1,2,0.40700000000000003,1.346820394974704e-6,4.283753292017043e-5,,NA
4+5+20+25+26,5,1,1,0.407,1.346820394974704e-6,4.2837532920170426e-5,,A
4+5+15+17,4,1,1,0.407,1.346820394974704e-6,4.2837532920170426e-5,,NA
1+4+22,3,1,1,0.407,1.346820394974704e-6,4.2837532920170426e-5,,NA
1+2+5+16+25,5,1,1,0.407,1.346820394974704e-6,4.2837532920170426e-5,,NA
12+14+25+26,4,1,1,0.407,1.346820394974704e-6,4.2837532920170426e-5,,NA
4+10+16+25,4,1,1,0.407,1.346820394974704e-6,4.2837532920170426e-5,,NA
4+17+25,3,2,4,0.404,1.3368929719159224e-6,4.252177714926008e-5,,A
1+2+5+12+18+26+36,7,1,1,0.4,1.3236564078375469e-6,4.210076945471295e-5,,NA
12+15+16,3,1,1,0.374,1.2376187413281064e-6,3.936421944015661e-5,,NA
7+9+25+26,4,1,1,0.374,1.2376187413281064e-6,3.936421944015661e-5,,NA
1+4+12+25,4,2,2,0.374,1.2376187413281064e-6,3.936421944015661e-5,,A
1+20+22,3,1,1,0.374,1.2376187413281064e-6,3.936421944015661e-5,,NA
1+4+6+8+12+25+26,7,1,1,0.374,1.2376187413281064e-6,3.936421944015661e-5,,NA
4+6+18+25,4,1,1,0.374,1.2376187413281064e-6,3.936421944015661e-5,,A
1+2+4+17,4,1,1,0.374,1.2376187413281064e-6,3.936421944015661e-5,,C
18+35,2,1,1,0.374,1.2376187413281064e-6,3.936421944015661e-5,,NA
14+17+23,3,3,3,0.374,1.2376187413281064e-6,3.936421944015661e-5,,NA
6+12+18,3,1,1,0.374,1.2376187413281064e-6,3.936421944015661e-5,,B
4+7+18,3,1,1,0.374,1.2376187413281064e-6,3.936421944015661e-5,,A
9+24,2,1,1,0.374,1.2376187413281064e-6,3.936421944015661e-5,,NA
1+2+20+26,4,1,1,0.374,1.2376187413281064e-6,3.936421944015661e-5,,C
1+2+5+10+12+25+26,7,1,1,0.374,1.2376187413281064e-6,3.936421944015661e-5,,C
17+28,2,1,1,0.373,1.2343096003085123e-6,3.9258967516519825e-5,,NA
1+2+4+15,4,1,1,0.373,1.2343096003085123e-6,3.9258967516519825e-5,,NA
1+4+5+18,4,1,1,0.373,1.2343096003085123e-6,3.9258967516519825e-5,,A
1+4+5+24,4,1,1,0.373,1.2343096003085123e-6,3.9258967516519825e-5,,NA
1+2+10+12,4,1,1,0.373,1.2343096003085123e-6,3.9258967516519825e-5,,C
2+17+20+25+26+32,6,1,1,0.373,1.2343096003085123e-6,3.9258967516519825e-5,,NA
9+18+25,3,1,1,0.373,1.2343096003085123e-6,3.9258967516519825e-5,,NA
1+2+23+25,4,1,2,0.372,1.2310004592889185e-6,3.915371559288304e-5,,NA
4+12+17+24,4,2,2,0.372,1.2310004592889185e-6,3.915371559288304e-5,,NA
1+2+5+10+12,5,1,1,0.34,1.1251079466619148e-6,3.578565403650601e-5,,C
10+16+25,3,1,1,0.34,1.1251079466619148e-6,3.578565403650601e-5,fig2002_disgust_7,NA
15+17+24,3,2,2,0.34,1.1251079466619148e-6,3.578565403650601e-5,,NA
1+15+24,3,1,1,0.34,1.1251079466619148e-6,3.578565403650601e-5,,NA
1+2+12+17+25+26+32,7,1,1,0.34,1.1251079466619148e-6,3.578565403650601e-5,,NA
1+2+13+25+26,5,1,1,0.34,1.1251079466619148e-6,3.578565403650601e-5,,NA
1+4+6+12+25,5,1,1,0.34,1.1251079466619148e-6,3.578565403650601e-5,,A
2+4+17,3,1,1,0.34,1.1251079466619148e-6,3.578565403650601e-5,,A
20+26,2,1,1,0.34,1.1251079466619148e-6,3.578565403650601e-5,,A
5+12+20,3,1,1,0.34,1.1251079466619148e-6,3.578565403650601e-5,,A
5+23+25,3,1,1,0.34,1.1251079466619148e-6,3.578565403650601e-5,,NA
1+5+22+25+26,5,1,1,0.34,1.1251079466619148e-6,3.578565403650601e-5,,NA
10+12+20+25+26,5,1,1,0.34,1.1251079466619148e-6,3.578565403650601e-5,,A
5+20+25,3,2,2,0.33999999999999997,1.1251079466619148e-6,3.5785654036506e-5,fig2002_fear_24,A
1+4+5+18+25,5,1,1,0.339,1.121798805642321e-6,3.568040211286923e-5,,A
1+2+4+20+25,5,1,2,0.339,1.121798805642321e-6,3.568040211286923e-5,du2014_fear_2,C
8+14+26,3,1,1,0.339,1.121798805642321e-6,3.568040211286923e-5,,NA
7+20,2,1,1,0.339,1.121798805642321e-6,3.568040211286923e-5,,A
1+2+7+12+25,5,1,1,0.339,1.121798805642321e-6,3.568040211286923e-5,,C
1+2+4+25+26,5,1,1,0.339,1.121798805642321e-6,3.568040211286923e-5,,C
1+2+4+12+18+25+26,7,1,1,0.339,1.121798805642321e-6,3.568040211286923e-5,,C
1+4+6+25,4,1,1,0.339,1.121798805642321e-6,3.568040211286923e-5,,A
1+12+24,3,1,1,0.339,1.121798805642321e-6,3.568040211286923e-5,,NA
2+10+20+25,4,1,1,0.339,1.121798805642321e-6,3.568040211286923e-5,,C
1+8+25+26,4,2,2,0.338,1.1184896646227271e-6,3.557515018923245e-5,,NA
11+15+25,3,1,2,0.30600000000000005,1.0125971519957234e-6,3.2207088632855414e-5,"fig2002_sadness_42
fig2002_sadness_46",NA
4+7+20,3,1,1,0.306,1.0125971519957234e-6,3.220708863285541e-5,,A
10+12+25+26,4,1,1,0.306,1.0125971519957234e-6,3.220708863285541e-5,,B
4+5+18,3,1,1,0.306,1.0125971519957234e-6,3.220708863285541e-5,,A
4+15+17+24,4,1,1,0.306,1.0125971519957234e-6,3.220708863285541e-5,,NA
4+12+14+25+26,5,1,1,0.306,1.0125971519957234e-6,3.220708863285541e-5,,NA
1+2+5+12+20+25+26,7,1,1,0.306,1.0125971519957234e-6,3.220708863285541e-5,,C
12+25+32,3,2,2,0.30500000000000005,1.0092880109761296e-6,3.210183670921863e-5,,NA
18+19+25+26,4,2,2,0.30500000000000005,1.0092880109761296e-6,3.210183670921863e-5,,NA
1+2+5+22+25,5,1,1,0.305,1.0092880109761294e-6,3.210183670921862e-5,,NA
1+2+4+5+25+27,6,1,1,0.305,1.0092880109761294e-6,3.210183670921862e-5,fig2002_fear_10,NA
4+12+17+23,4,1,1,0.305,1.0092880109761294e-6,3.210183670921862e-5,,NA
2+5+18,3,1,1,0.305,1.0092880109761294e-6,3.210183670921862e-5,,C
4+26,2,1,1,0.305,1.0092880109761294e-6,3.210183670921862e-5,,A
5+12+16,3,1,1,0.305,1.0092880109761294e-6,3.210183670921862e-5,,NA
1+2+24+26,4,1,1,0.305,1.0092880109761294e-6,3.210183670921862e-5,,NA
4+14+17+23,4,1,1,0.305,1.0092880109761294e-6,3.210183670921862e-5,,NA
4+7+13+25,4,1,1,0.305,1.0092880109761294e-6,3.210183670921862e-5,,NA
1+5+18+26,4,1,1,0.305,1.0092880109761294e-6,3.210183670921862e-5,,C
18+23,2,2,2,0.30400000000000005,1.0059788699565358e-6,3.1996584785581846e-5,,NA
9+17+24,3,1,2,0.30400000000000005,1.0059788699565358e-6,3.1996584785581846e-5,,NA
6+14,2,2,2,0.30400000000000005,1.0059788699565358e-6,3.1996584785581846e-5,,NA
1+4+6+17+20,5,1,1,0.272,9.00086357329532e-7,2.862852322920481e-5,,A
7+19+25+26,4,1,1,0.272,9.00086357329532e-7,2.862852322920481e-5,,NA
7+15+25,3,1,1,0.272,9.00086357329532e-7,2.862852322920481e-5,,NA
5+12+17+26,4,1,1,0.272,9.00086357329532e-7,2.862852322920481e-5,,B
1+17+23,3,1,1,0.272,9.00086357329532e-7,2.862852322920481e-5,,NA
1+2+15+26,4,1,1,0.272,9.00086357329532e-7,2.862852322920481e-5,,NA
4+10+15+38,4,1,1,0.272,9.00086357329532e-7,2.862852322920481e-5,,NA
6+9+24,3,1,1,0.272,9.00086357329532e-7,2.862852322920481e-5,,NA
1+2+18+26,4,1,1,0.272,9.00086357329532e-7,2.862852322920481e-5,,C
12+17+24+34,4,1,2,0.272,9.00086357329532e-7,2.862852322920481e-5,,NA
4+25+26+30,4,1,1,0.272,9.00086357329532e-7,2.862852322920481e-5,,NA
4+6+23,3,1,1,0.272,9.00086357329532e-7,2.862852322920481e-5,,NA
1+2+17+25,4,1,1,0.272,9.00086357329532e-7,2.862852322920481e-5,,C
1+12+18+25,4,1,1,0.272,9.00086357329532e-7,2.862852322920481e-5,,C
4+10+12+25,4,1,1,0.272,9.00086357329532e-7,2.862852322920481e-5,,A
6+12+19+25,4,1,1,0.271,8.96777216309938e-7,2.8523271305568026e-5,,NA
1+2+5+7+19+25+26,7,1,1,0.271,8.96777216309938e-7,2.8523271305568026e-5,,NA
5+8+25+27,4,1,1,0.271,8.96777216309938e-7,2.8523271305568026e-5,,NA
1+2+17+22,4,1,1,0.271,8.96777216309938e-7,2.8523271305568026e-5,,NA
4+7+17+24,4,1,1,0.271,8.96777216309938e-7,2.8523271305568026e-5,"du2014_anger_3
fig2002_anger_48",NA
4+14+27,3,1,1,0.271,8.96777216309938e-7,2.8523271305568026e-5,,NA
4+17+20+25,4,1,2,0.271,8.96777216309938e-7,2.8523271305568026e-5,,A
4+6+15,3,1,1,0.271,8.96777216309938e-7,2.8523271305568026e-5,du2014_sadness_3,NA
1+2+4+12+17,5,1,1,0.271,8.96777216309938e-7,2.8523271305568026e-5,,C
1+2+14+17+19,5,1,1,0.271,8.96777216309938e-7,2.8523271305568026e-5,,NA
15+16+25+26,4,1,1,0.271,8.96777216309938e-7,2.8523271305568026e-5,,NA
9+20+25,3,2,2,0.271,8.96777216309938e-7,2.8523271305568026e-5,,NA
4+17+36,3,1,1,0.271,8.96777216309938e-7,2.8523271305568026e-5,,NA
1+4+18+24,4,1,1,0.271,8.96777216309938e-7,2.8523271305568026e-5,,NA
1+11+15+17,4,1,1,0.271,8.96777216309938e-7,2.8523271305568026e-5,,NA
34,1,2,2,0.27,8.934680752903442e-7,2.8418019381931242e-5,,NA
1+2+17+20+25,5,2,2,0.27,8.934680752903442e-7,2.8418019381931242e-5,,C
7+16+25,3,1,2,0.265,8.769223701923748e-7,2.7891759763747332e-5,,NA
1+6+25,3,2,3,0.238,7.875755626633404e-7,2.5049957825554206e-5,,A
28,1,1,1,0.238,7.875755626633404e-7,2.5049957825554206e-5,,NA
17+22+25,3,2,2,0.238,7.875755626633404e-7,2.5049957825554206e-5,,NA
4+5+17+18,4,1,1,0.238,7.875755626633404e-7,2.5049957825554206e-5,,A
1+2+17+19+25+26,6,2,2,0.238,7.875755626633404e-7,2.5049957825554206e-5,,NA
1+2+5+21+25+26,6,1,1,0.238,7.875755626633404e-7,2.5049957825554206e-5,,NA
13+25,2,1,1,0.238,7.875755626633404e-7,2.5049957825554206e-5,,NA
7+17+23,3,1,1,0.238,7.875755626633404e-7,2.5049957825554206e-5,,NA
1+2+4+5+22,5,1,1,0.238,7.875755626633404e-7,2.5049957825554206e-5,,NA
6+10+25+26,4,1,1,0.238,7.875755626633404e-7,2.5049957825554206e-5,,A
15+23,2,1,1,0.238,7.875755626633404e-7,2.5049957825554206e-5,,NA
17+24+32,3,1,1,0.238,7.875755626633404e-7,2.5049957825554206e-5,,NA
17+26,2,1,1,0.238,7.875755626633404e-7,2.5049957825554206e-5,,A
1+2+5+14+17+19+25+26,8,1,1,0.237,7.842664216437464e-7,2.4944705901917422e-5,,NA
